trade_id,date,exit_time,side,entry_price,exit_price,qty,pnl,ml_prob,entry_reason,exit_reason,regime,orb_high,orb_low,held_seconds,max_pnl,stop_loss,target
144,2024-11-19,2024-11-19 09:58:00,CE,23491.65,23481.75,75,-24.0,0.7102,ML_CE,STOP,TREND,23717.45,23576.3,120.0,0.0,23474.415384615382,23547.153846153844
145,2024-11-21,2024-11-21 09:41:00,CE,23358.7,23360.45,75,96.0,0.5847,ORB+ML_CE,STOP,RANGE,23343.6,23319.15,180.0,194.99999999989086,23358.7,23440.119230769233
146,2024-11-21,2024-11-21 09:48:00,CE,23355.45,23365.65,75,718.5,0.6284,ORB+ML_CE,STOP,RANGE,23343.6,23319.15,240.0,843.75,23360.45,23426.61153846154
147,2024-11-21,2024-11-21 09:53:00,CE,23359.55,23360.9,75,78.0,0.6757,ORB+ML_CE,STOP,RANGE,23343.6,23319.15,120.0,187.5,23359.55,23421.196153846155
148,2024-11-25,2024-11-25 09:31:00,CE,24229.8,24228.8,75,-12.0,0.6118,ML_CE,STOP,RANGE,24267.8,24219.5,60.0,0.0,24208.62692307692,24304.130769230767
149,2024-11-26,2024-11-26 09:35:00,CE,24203.05,24194.85,75,-275.25,0.5823,ML_CE,STOP,RANGE,24240.1,24209.55,240.0,0.0,24184.23076923077,24263.29230769231
150,2024-12-03,2024-12-03 09:48:00,CE,24470.7,24463.7,75,-597.0,0.5733,ORB+ML_CE,TIME_EXIT_WEAK,RANGE,24468.1,24449.25,360.0,0.0,24454.29230769231,24522.276923076923
151,2024-12-05,2024-12-05 09:48:00,CE,24744.5,24755.85,75,415.5,0.6431,ML_CE,STOP,EXPANSION,24826.5,24495.05,120.0,903.7499999999454,24753.5,24883.530769230765
152,2024-12-05,2024-12-05 09:59:00,CE,24705.2,24701.05,75,-323.25,0.6515,ML_CE,DAY_END,EXPANSION,24826.5,24495.05,60.0,0.0,24684.2,24785.449999999997
153,2024-12-09,2024-12-09 09:36:00,CE,24610.55,24618.55,75,565.5,0.5649,ML_CE,Drawdown,RANGE,24645.25,24617.95,180.0,622.4999999999454,24615.55,24666.48846153846
154,2024-12-16,2024-12-16 09:40:00,CE,24663.35,24671.05,75,543.0,0.5641,ML_CE,STOP,RANGE,24687.15,24667.2,180.0,577.5000000000546,24668.35,24727.884615384613
155,2024-12-18,2024-12-18 09:41:00,CE,24190.25,24193.8,75,-23.25,0.5612,ML_CE,STOP,RANGE,24201.3,24172.1,120.0,318.75,24192.916666666668,24242.830769230768
156,2024-12-19,2024-12-19 09:43:00,CE,23958.45,23946.15,75,-705.0,0.5694,ML_CE,TIME_EXIT_WEAK,RANGE,23961.9,23941.15,360.0,0.0,23945.47692307692,24004.53076923077
157,2024-12-20,2024-12-20 09:59:00,CE,23631.85,23630.85,75,0.0,0.5535,ML_CE,DAY_END,TREND,23696.0,23633.8,0.0,0.0,23604.546153846153,23711.761538461535
158,2024-12-23,2024-12-23 09:36:00,CE,23731.8,23747.2,75,-46.5,0.6072,ML_CE,Drawdown,RANGE,23754.3,23728.3,240.0,1226.2500000001637,23740.8,23806.076923076926
159,2024-12-24,2024-12-24 09:58:00,CE,23738.7,23747.7,75,-48.0,0.5995,ML_CE,Drawdown,RANGE,23744.15,23717.9,240.0,618.75,23743.7,23792.561538461534
160,2024-12-26,2024-12-26 09:36:00,CE,23752.4,23744.35,75,-249.75,0.6027,ML_CE,TIME_EXIT_WEAK,RANGE,23762.9,23746.85,360.0,0.0,23736.853846153845,23801.41153846154
161,2024-12-30,2024-12-30 09:36:00,CE,23672.15,23650.2,75,-1717.5,0.5841,ML_CE,TIME_EXIT_WEAK,RANGE,23707.5,23657.6,360.0,0.0,23642.71923076923,23774.257692307692
162,2024-12-31,2024-12-31 09:59:00,CE,23645.9,23668.3,75,1301.25,0.5924,ML_CE,DAY_END,RANGE,23665.65,23641.1,360.0,1717.4999999998363,23654.9,23698.15769230769
163,2025-01-02,2025-01-02 09:33:00,CE,24185.7,24190.15,75,-35.25,0.5673,ML_CE,STOP,RANGE,24226.7,24173.25,180.0,333.75000000005457,24188.36666666667,24260.526923076926
164,2025-01-06,2025-01-06 09:41:00,CE,23624.55,23643.0,75,1329.75,0.578,ML_CE,STOP,RANGE,23644.05,23572.35,300.0,1406.25,23633.55,23708.303846153845
165,2025-01-06,2025-01-06 09:56:00,CE,23587.65,23633.1,75,2343.0,0.6171,ML_CE,Drawdown,RANGE,23644.05,23572.35,720.0,3532.499999999891,23596.65,23678.16153846154
166,2025-01-06,2025-01-06 09:59:00,CE,23630.1,23629.1,75,0.0,0.6555,ML_CE,DAY_END,RANGE,23644.05,23572.35,0.0,0.0,23606.746153846154,23709.58846153846
167,2025-01-08,2025-01-08 09:59:00,CE,23675.7,23674.7,75,0.0,0.5954,ML_CE,DAY_END,RANGE,23718.65,23674.15,0.0,0.0,23660.515384615384,23726.596153846156
168,2025-01-09,2025-01-09 09:45:00,CE,23525.65,23521.45,75,-70.5,0.6023,ML_CE,TIME_EXIT_WEAK,RANGE,23525.15,23503.05,360.0,0.0,23510.800000000003,23574.25
169,2025-01-14,2025-01-14 09:45:00,CE,23176.25,23172.4,75,-70.5,0.6123,ML_CE,TIME_EXIT_WEAK,RANGE,23183.3,23164.6,360.0,0.0,23158.223076923077,23239.569230769226
170,2025-01-15,2025-01-15 09:51:00,CE,23195.55,23222.45,75,1626.0,0.6,ML_CE,Drawdown,RANGE,23219.4,23186.95,300.0,2036.2500000001091,23204.55,23237.934615384616
171,2025-01-15,2025-01-15 09:57:00,CE,23219.05,23214.7,75,-363.0,0.61,ML_CE,RANGE_DAY_FAST_EXIT,RANGE,23219.4,23186.95,180.0,0.0,23202.757692307692,23271.573076923076
172,2025-01-17,2025-01-17 09:35:00,CE,23217.8,23206.6,75,-898.5,0.6153,ML_CE,STOP,RANGE,23245.05,23217.5,300.0,0.0,23197.96923076923,23280.907692307697
173,2025-01-20,2025-01-20 09:33:00,CE,23347.55,23350.15,75,-12.0,0.601,ML_CE,STOP,RANGE,23365.55,23350.75,120.0,161.25000000010914,23347.55,23392.288461538457
174,2025-01-27,2025-01-27 09:52:00,CE,22829.65,22829.55,75,-36.0,0.6208,ML_CE,STOP,RANGE,22833.35,22786.9,180.0,206.25,22829.65,22887.15384615384
175,2025-01-28,2025-01-28 09:41:00,CE,22934.6,22945.45,75,-35.25,0.6118,ML_CE,STOP,RANGE,23132.4,22956.95,180.0,896.2500000000546,22939.6,23072.792307692307
176,2025-01-29,2025-01-29 09:45:00,CE,23160.7,23159.8,75,-138.75,0.5949,ORB+ML_CE,TIME_EXIT_WEAK,RANGE,23149.65,23130.9,360.0,0.0,23147.05769230769,23220.373076923075
177,2025-01-30,2025-01-30 09:33:00,CE,23206.45,23228.3,75,1606.5,0.6252,ORB+ML_CE,Drawdown,RANGE,23205.7,23148.8,180.0,1784.9999999999454,23215.45,23292.72307692308
178,2025-01-30,2025-01-30 09:40:00,CE,23247.25,23251.45,75,84.75,0.5685,ORB+ML_CE,Drawdown,RANGE,23205.7,23148.8,120.0,412.5,23249.916666666668,23345.915384615386
179,2025-01-31,2025-01-31 09:43:00,CE,23494.6,23513.8,75,976.5,0.5691,ML_CE,Drawdown,RANGE,23501.1,23477.25,300.0,1507.5000000001637,23503.6,23560.719230769235
180,2025-02-01,2025-02-01 09:33:00,CE,23513.45,23497.75,75,-1044.75,0.5982,ORB+ML_CE,STOP,RANGE,23511.15,23473.95,180.0,0.0,23491.226923076923,23584.48076923077
181,2025-02-03,2025-02-03 09:33:00,CE,23353.85,23358.1,75,284.25,0.6031,ML_CE,STOP,RANGE,23355.6,23327.0,180.0,390.00000000005457,23356.516666666666,23411.850000000002
182,2025-02-03,2025-02-03 09:41:00,CE,23360.1,23374.0,75,985.5,0.6276,ORB+ML_CE,Drawdown,RANGE,23355.6,23327.0,300.0,1147.5000000002183,23369.1,23415.31923076923
183,2025-02-03,2025-02-03 09:50:00,CE,23367.7,23357.2,75,-859.5,0.601,ORB+ML_CE,TIME_EXIT_WEAK,RANGE,23355.6,23327.0,360.0,0.0,23351.246153846158,23421.68846153846
184,2025-02-04,2025-02-04 09:57:00,CE,23722.25,23710.7,75,-903.0,0.6023,ML_CE,RANGE_DAY_FAST_EXIT,RANGE,23752.7,23684.6,180.0,0.0,23702.95,23787.999999999996
185,2025-02-06,2025-02-06 09:37:00,CE,23580.95,23609.05,75,597.75,0.6291,ML_CE,Drawdown,RANGE,23582.65,23567.2,420.0,2126.249999999891,23589.95,23631.788461538465
186,2025-02-10,2025-02-10 09:41:00,CE,23377.15,23388.6,75,-46.5,0.5703,ML_CE,STOP,RANGE,23401.0,23360.1,240.0,900.0,23386.15,23442.388461538467
187,2025-02-18,2025-02-18 09:53:00,CE,22937.2,22930.15,75,-36.0,0.5945,ML_CE,RANGE_DAY_FAST_EXIT,RANGE,22966.55,22925.8,180.0,0.0,22925.765384615388,22978.796153846146
188,2025-02-19,2025-02-19 09:59:00,CE,22931.35,22919.45,75,-36.0,0.5934,ORB+ML_CE,STOP,RANGE,22927.05,22878.55,180.0,48.75000000010914,22920.003846153846,22969.26153846154
189,2025-02-20,2025-02-20 09:33:00,CE,22911.25,22912.25,75,40.5,0.5797,ML_CE,STOP,RANGE,22923.85,22896.95,180.0,191.24999999994543,22911.25,22954.97692307692
190,2025-02-20,2025-02-20 09:40:00,CE,22910.0,22914.35,75,279.75,0.5849,ML_CE,STOP,RANGE,22923.85,22896.95,240.0,333.75000000005457,22912.666666666668,22945.57692307692
