trade_idx,check_bar,eqs,action,actual_pnl,outcome
355,3,43.0,ScaleOut,284.25,win
356,3,25.0,Exit,-379.1250000000055,loss
357,3,43.0,ScaleOut,272.2500000000109,win
358,3,45.0,ScaleOut,-365.2500000000164,loss
359,3,38.0,ScaleOut,244.50000000003277,win
360,3,25.0,Exit,-354.75000000000546,loss
361,3,35.0,ScaleOut,223.5000000000109,win
362,3,45.0,ScaleOut,-171.74999999996726,loss
363,3,48.0,ScaleOut,-88.50000000003274,loss
364,3,45.0,ScaleOut,-158.25,loss
365,3,48.0,ScaleOut,-102.0,loss
366,3,53.0,Trail,-69.37499999998363,loss
367,3,50.0,Trail,-190.8750000000164,loss
368,3,33.0,ScaleOut,-42.37499999996726,loss
369,3,70.0,Hold,-217.87500000003277,loss
370,3,53.0,Trail,-103.12499999998364,loss
371,3,50.0,Trail,-157.12500000001637,loss
372,3,25.0,Exit,-225.75,loss
373,3,73.0,Hold,-34.5,loss
374,3,45.0,ScaleOut,-189.75000000000543,loss
375,3,53.0,Trail,-78.37499999998909,loss
376,3,45.0,ScaleOut,-217.87500000000543,loss
377,3,58.0,Trail,-50.249999999989086,loss
378,3,45.0,ScaleOut,-195.0000000000109,loss
379,3,53.0,Trail,-77.99999999999454,loss
380,3,25.0,Exit,-164.62500000004366,loss
381,3,73.0,Hold,-108.3749999999618,loss
382,3,58.0,Trail,-150.0000000000109,loss
383,3,50.0,Trail,-122.99999999999454,loss
384,3,38.0,ScaleOut,-142.12500000004366,loss
385,3,70.0,Hold,-130.8749999999618,loss
386,3,43.0,ScaleOut,-67.50000000001091,loss
387,3,70.0,Hold,-197.99999999999451,loss
388,3,58.0,Trail,-190.12500000002728,loss
389,3,50.0,Trail,-75.37499999997817,loss
390,3,38.0,ScaleOut,-210.37500000000543,loss
391,3,70.0,Hold,-53.999999999989086,loss
392,3,73.0,Hold,121.50000000002184,win
393,3,25.0,Exit,-274.5000000000273,loss
394,3,75.0,Hold,188.62499999997272,win
395,3,25.0,Exit,-297.37499999999454,loss
396,3,55.0,Trail,268.49999999995634,win
397,3,45.0,ScaleOut,-377.2499999999782,loss
398,3,75.0,Hold,180.74999999997817,win
399,3,25.0,Exit,-333.3749999999891,loss
400,3,43.0,ScaleOut,78.74999999998909,win
401,3,45.0,ScaleOut,-276.74999999999454,loss
402,3,68.0,Trail,75.37499999998363,win
403,3,25.0,Exit,-258.74999999998363,loss
404,3,48.0,ScaleOut,25.874999999967255,win
405,3,45.0,ScaleOut,-209.2499999999673,loss
406,3,55.0,Trail,52.87499999998363,win
407,3,45.0,ScaleOut,-236.24999999998363,loss
408,3,43.0,ScaleOut,-104.62499999998909,loss
409,3,45.0,ScaleOut,-63.00000000002183,loss
410,3,60.0,Trail,-214.50000000002728,loss
411,3,28.0,Exit,108.37500000002184,win
412,3,68.0,Trail,-262.87500000003274,loss
413,3,25.0,Exit,172.50000000001637,win
414,3,53.0,Trail,-187.49999999998363,loss
415,3,45.0,ScaleOut,97.12499999996726,win
416,3,70.0,Hold,-203.25,loss
417,3,28.0,Exit,112.87499999998364,win
418,3,50.0,Trail,-410.2499999999891,loss
419,3,40.0,ScaleOut,334.4999999999782,win
420,3,70.0,Hold,-368.9999999999891,loss
421,3,50.0,Trail,251.99999999997817,win
