comparison,feature,psi,train_mean,comparison_mean,mean_delta,train_std,comparison_std
train_vs_walkforward,upper_wick,0.001752594603275898,0.21077877325427707,0.2149729011694003,0.004194127915123219,0.20548842973426606,0.20641765096230522
train_vs_walkforward,lower_wick,0.0036365423175382236,0.2113477457497427,0.2185834283945079,0.007235682644765207,0.21400052739155703,0.21336591785249884
train_vs_walkforward,close_position,0.001721721811003649,0.5015396492933005,0.5018555283583129,0.00031587906501240326,0.33257732219204383,0.327957569005237
train_vs_latest,supertrend_dir,0.006525573469955755,0.08018018272768146,-0.0005146408730420554,-0.08069482360072351,0.9967803861923425,0.9999998675723771
train_vs_latest,supertrend_dist,0.01644537600304124,5.9650158683589285e-05,-7.1342885957757745e-06,-6.678444727936506e-05,0.0011905764118714825,0.0011196670148335597
train_vs_latest,price_vs_vwap,0.012073496207107234,-5.485979160019916e-05,-4.0033657723523446e-08,5.481975794247563e-05,0.002667604704930044,0.0023236264933003273
train_vs_latest,adx,0.0006780113736912699,25.108583089680117,25.18363458210427,0.07505149242415143,10.553882370079142,10.480531618440422
train_vs_latest,di_spread,0.00510084025717929,0.23917294482987858,-0.44320795224885073,-0.6823808970787293,15.836853888025942,15.286010944056683
train_vs_latest,ema_alignment,0.00669755752788519,0.08562638381861831,0.0038927963473693932,-0.08173358747124893,0.996327316896484,0.9999924230395939
train_vs_latest,volume_ratio,0.0,1.0,1.0,0.0,0.0,0.0
train_vs_latest,ema20,10.985967539273926,18680.51877558241,24898.619586078727,6218.100810496315,2907.0999748696954,1008.8888883979361
train_vs_latest,ema50,10.98609473605406,18680.078969537608,24898.850994323548,6218.77202478594,2906.936005440749,1008.3387414219422
train_vs_latest,macd,0.053763362136640694,0.439806044802754,-0.23140824482337605,-0.6712142896261301,14.603121634407293,20.08296099363575
train_vs_latest,returns,0.0070222660235948284,1.6573447070867858e-06,-4.948721105164009e-07,-2.152216817603187e-06,0.0004419417138788656,0.00045729242449373155
train_vs_latest,volatility,0.024632693411217176,0.00033147219637056583,0.00030967761104301665,-2.179458532754918e-05,0.00029176224854909677,0.00033613876933115866
train_vs_latest,rsi,0.004838132057046667,50.823121049073364,50.139604116455175,-0.6835169326181898,12.384938910366095,12.61926366455176
train_vs_latest,atr,0.585691858585551,7.725524204362884,9.761928630968393,2.0364044266055092,3.9469142865962206,4.550642901578442
train_vs_latest,trend_strength,0.014901182711657147,2.1971456549607984e-05,-1.1041738264542345e-05,-3.301319481415033e-05,0.0008078393327254545,0.0008304325997731984
train_vs_latest,hour,1.2952433602357581e-06,11.881959388193112,11.880669297053352,-0.0012900911397597525,1.8452848256072418,1.839948860987981
train_vs_latest,weekday,0.0017031109880743635,2.004490429559921,2.0126812789485493,0.00819084938862824,1.4201485044242712,1.4560813088620148
train_vs_latest,return_1,0.0070222660235948284,1.6573447070867858e-06,-4.948721105164009e-07,-2.152216817603187e-06,0.0004419417138788656,0.00045729242449373155
train_vs_latest,return_3,0.006344681216842707,4.978079919089263e-06,-1.4876008515805051e-06,-6.4656807706697685e-06,0.0007743979226044886,0.0007973206738948491
train_vs_latest,candle_body_pct,0.007728236154745008,0.5195978693835334,0.5004847007230588,-0.019113168660474522,0.27904143508826473,0.27364152477544246
train_vs_latest,range_break_strength,0.00039684983720338703,-1.6860251428792603,-1.6888450447515835,-0.0028199018723231717,1.2935123006487133,1.2881165031575081
train_vs_latest,mins_since_open,4.459629490668064e-06,187.02080923874777,187.04047188609283,0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_latest,mins_to_close,4.5356480307430785e-06,187.97919076125223,187.95952811390717,-0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_latest,session_open,3.440938892092316e-07,0.0801264559256421,0.07996727411884245,-0.00015918180679964922,0.2714888708334805,0.2712425283557952
train_vs_latest,session_close,8.332641317059131e-07,0.1576146430985095,0.15728216835354508,-0.00033247474496442275,0.36437929054686824,0.3640665981267056
train_vs_latest,time_to_expiry_min,4.5356480307430785e-06,187.97919076125223,187.95952811390717,-0.01966264734505785,108.31277523531212,108.24938930209295
train_vs_latest,moneyness,0.009423186903739552,1.387847287556227e-05,-7.147142674793612e-06,-2.102561555035588e-05,0.0009528039181398164,0.0009697718251641743
train_vs_latest,momentum_velocity,0.00687523247455055,7.363063724156123e-10,8.252608898197193e-10,8.895451740410702e-11,0.0006183604271762887,0.0006426181177938948
train_vs_latest,range_compression,0.0022090002926789974,0.5756998485432746,0.5799915176839467,0.0042916691406721386,0.1985702623581385,0.2038150489402958
train_vs_latest,wick_ratio,0.008254289917904565,2.099475448923706,2.230118619835184,0.13064317091147792,2.8487343606400004,2.9114790000240265
train_vs_latest,body_efficiency,0.007728236154745008,0.5195978693835334,0.5004847007230588,-0.019113168660474522,0.27904143508826473,0.27364152477544246
train_vs_latest,mom3_strength,0.007394206991012172,0.00044101538459990054,0.00040438921786080444,-3.662616673909611e-05,0.0006365707771803778,0.0006871621573212227
train_vs_latest,upper_wick,0.01371427254579913,0.21077877325427707,0.21910841219502178,0.008329638940744705,0.20548842973426606,0.20842512457475543
train_vs_latest,lower_wick,0.02171072301637549,0.2113477457497427,0.2243378272602872,0.01299008151054451,0.21400052739155703,0.20953308426762518
train_vs_latest,close_position,0.010877367760888965,0.5015396492933005,0.49670632213767413,-0.004833327155626399,0.33257732219204383,0.32300778040748535
