entry_ts,exit_ts,side,ml_prob,conf_bucket,orb_state,regime,hour_bucket,hold_secs,exit_reason,entry_prem,exit_prem,entry_spot,gross_rs,cost_rs,net_rs,label_correct
2024-02-06 09:35:00,2024-02-06 09:38:00,PE,0.6614,0.60-0.70,POST_ORB,TREND,09:15-10:00,180.0,Stop Loss,110.82,95.28,21816.85,-1010.1,66.0,-1076.1,0
2024-02-06 10:10:00,2024-02-06 10:15:00,PE,0.5383,0.50-0.60,POST_ORB,RANGE,10:00-11:00,300.0,Stop Loss,105.24,106.1,21860.6,55.9,66.0,-10.1,1
2024-02-06 10:27:00,2024-02-06 10:29:00,CE,0.6219,0.60-0.70,POST_ORB,RANGE,10:00-11:00,120.0,Stop Loss,102.42,93.66,21827.45,-569.4,66.0,-635.4,0
2024-02-06 10:35:00,2024-02-06 10:39:00,CE,0.6976,0.60-0.70,POST_ORB,TREND,10:00-11:00,240.0,Stop Loss,101.07,102.59,21801.35,98.8,66.0,32.8,1
2024-02-06 14:16:00,2024-02-06 14:19:00,CE,0.5142,0.50-0.60,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,50.87,49.04,21917.5,-118.95,66.0,-184.95,0
2024-02-06 14:37:00,2024-02-06 14:40:00,CE,0.518,0.50-0.60,POST_ORB,RANGE,14:00-15:00,180.0,Stop Loss,43.13,43.03,21934.4,-6.5,66.0,-72.5,1
2024-02-07 10:38:00,2024-02-07 10:41:00,CE,0.5223,0.50-0.60,POST_ORB,RANGE,10:00-11:00,180.0,Stop Loss,100.56,91.89,21973.2,-563.55,66.0,-629.55,0
2024-02-07 10:59:00,2024-02-07 11:03:00,CE,0.5079,0.50-0.60,POST_ORB,RANGE,10:00-11:00,240.0,Stop Loss,96.89,88.6,21971.75,-538.85,66.0,-604.85,0
2024-02-07 14:26:00,2024-02-07 14:27:00,CE,0.519,0.50-0.60,POST_ORB,TREND,14:00-15:00,60.0,Stop Loss,47.34,42.6,21972.35,-308.1,66.0,-374.1,0
2024-02-07 14:47:00,2024-02-07 14:49:00,CE,0.562,0.50-0.60,POST_ORB,TREND,14:00-15:00,120.0,Stop Loss,38.9,31.89,21935.85,-455.65,66.0,-521.65,1
2024-02-07 14:54:00,2024-02-07 14:56:00,CE,0.6531,0.60-0.70,POST_ORB,RANGE,14:00-15:00,120.0,Stop Loss,35.63,30.87,21949.15,-309.4,66.0,-375.4,0
