entry_filter,confidence_threshold,risk_multiplier,reward_points,stop_points,trailing_stop,partial_exit_fraction,trade_count,net_pnl,profit_factor,win_rate,expectancy,max_drawdown,avg_winner,avg_loser,meets_min_trades
confidence_threshold,0.43108233117483813,1.25,15.0,22.5,True,0.0,32080,6539800.875000006,5.337982130153384,0.5910536159600998,203.8591295199503,-7540.5,424.41687542851145,-114.91481820260682,True
none,0.0,1.0,22.5,30.0,True,0.0,66692,6407173.500000009,2.598931766816933,0.4364391531218137,96.07109548371633,-72659.99999999619,357.79476758168147,-106.87751847011424,True
none,0.0,1.0,22.5,22.5,True,0.0,66692,6290083.050000009,2.5697114499180866,0.4364391531218137,94.31540589575975,-72659.99999999619,353.77200845157535,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.25,15.0,15.0,True,0.0,32080,6284851.1250000065,5.168868806869352,0.5910536159600998,195.91181811097277,-7540.5,410.9708678339753,-114.91481820260682,True
none,0.0,1.0,18.75,30.0,True,0.0,66692,6225774.600000007,2.553663059222913,0.4364391531218137,93.35114556468552,-56863.199999996024,351.5626275466383,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.25,15.0,30.0,True,0.5,32080,6087883.950000003,4.9871009781714895,0.5751558603491271,189.7719435785537,-7854.074999999488,412.7027694975883,-112.0327867048205,True
none,0.0,1.0,18.75,22.5,True,0.0,66692,6086338.200000009,2.5188662350990483,0.4364391531218137,91.26039405026103,-56863.199999996024,346.77215102896224,-106.87751847011424,True
none,0.0,1.0,22.5,15.0,True,0.0,66692,6058819.500000009,2.511998850656984,0.4364391531218137,90.84777034726818,-72659.99999999625,345.826718658742,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.25,15.0,22.5,True,0.5,32080,6017355.637500005,4.940910297457622,0.5751558603491271,187.57343009663356,-7854.074999999488,408.88030391306717,-112.0327867048205,True
none,0.0,1.0,22.5,30.0,True,0.5,66692,5997530.2050000075,2.468100895982303,0.41666166856594494,89.92878013854747,-79331.47499999858,362.84584946739614,-105.00797501542243,True
none,0.0,1.0,22.5,22.5,True,0.5,66692,5938984.980000009,2.45376994735176,0.41666166856594494,89.0509353445692,-79331.47499999858,360.7389966892184,-105.00797501542243,True
confidence_threshold,0.43108233117483813,1.25,11.25,30.0,True,0.0,32080,5915965.8750000065,4.92423247430554,0.5925810473815462,184.4129013403992,-6372.75,390.50568779589713,-115.34408951798,True
confidence_threshold,0.43108233117483813,1.25,15.0,15.0,True,0.5,32080,5889880.762500005,4.857423949330899,0.5751558603491271,183.59977439214478,-7854.074999999488,401.9714710584794,-112.0327867048205,True
none,0.0,1.0,22.5,15.0,True,0.5,66692,5823353.205000008,2.425465110747519,0.41666166856594494,87.3171175703234,-79331.47499999858,356.5777841154456,-105.00797501542243,True
none,0.0,1.0,18.75,15.0,True,0.0,66692,5815004.100000008,2.451153894874348,0.4364391531218137,87.1919285671446,-57150.07499999655,337.4501975469819,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.25,11.25,22.5,True,0.0,32080,5778123.750000007,4.832790150776077,0.5923316708229427,180.1160769950127,-6372.75,383.4161667192931,-115.27376127848287,True
none,0.0,1.0,18.75,30.0,True,0.5,66692,5748557.310000008,2.4071562541495553,0.41666166856594494,86.19560531997853,-62073.43499999837,353.8861224269469,-105.00797501542243,True
none,0.0,1.0,15.0,30.0,True,0.0,66692,5690200.200000008,2.420008660500307,0.4364391531218137,85.32058117915204,-51820.79999999705,333.16243515305604,-106.87751847011424,True
none,0.0,1.0,18.75,22.5,True,0.5,66692,5678839.110000007,2.3900903372824853,0.41666166856594494,85.15022956276626,-62073.43499999834,351.3771905138909,-105.00797501542243,True
none,0.0,1.0,18.75,15.0,True,0.5,66692,5543172.060000008,2.3568811810377652,0.41666166856594494,83.11599682120806,-62216.8724999986,346.4949733698,-105.00797501542243,True
confidence_threshold,0.43108233117483813,1.25,11.25,15.0,True,0.0,32080,5530441.875000009,4.668517776876762,0.5929551122194514,172.39532029301773,-6372.75,369.9917529702454,-115.44962858018063,True
none,0.0,1.0,15.0,22.5,True,0.0,66692,5527278.300000007,2.3793509506037087,0.4364391531218137,82.87768098122724,-51820.79999999705,327.5650908716117,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.0,22.5,30.0,True,0.0,32080,5239435.500000004,4.330459866558765,0.5415211970074812,163.32404925187043,-12545.399999999441,392.1610810499655,-107.29687627881584,True
none,0.0,1.0,15.0,15.0,True,0.0,66692,5225147.100000007,2.303953090154555,0.4364391531218137,78.34743447489964,-52810.79999999708,317.18507231937343,-106.87751847011424,True
confidence_threshold,0.43108233117483813,1.0,22.5,22.5,True,0.0,32080,5148019.200000004,4.2723508740347995,0.5415211970074812,160.4744139650874,-12731.699999999255,386.89880267096476,-107.29687627881584,True
confidence_threshold,0.435759209344115,1.25,22.5,30.0,True,0.0,18447,5129766.562500004,7.548866678539451,0.6344663088849135,278.08134452756565,-10075.5,505.2180931732741,-116.16580157200015,True
confidence_and_adx,0.43108233117483813,1.25,22.5,30.0,True,0.0,20899,5101762.687500002,6.366775398365125,0.6007942963778171,244.11515802191502,-7336.5,482.03109569130294,-113.94219705142024,True
confidence_threshold,0.435759209344115,1.25,22.5,22.5,True,0.0,18447,5042466.375000004,7.437415741740805,0.6344663088849135,273.3488575378112,-10075.5,497.7590887730691,-116.16580157200015,True
none,0.0,1.0,15.0,30.0,True,0.5,66692,5025914.850000006,2.2302647660305968,0.41666166856594494,75.3600859173515,-55630.229999998526,327.8805639124802,-105.00797501542243,True
confidence_and_adx,0.43108233117483813,1.25,22.5,22.5,True,0.0,20899,5018943.750000002,6.279654404403028,0.6007942963778171,240.1523398248721,-7336.5,475.4351306148455,-113.94219705142024,True
confidence_threshold,0.43108233117483813,1.0,22.5,30.0,True,0.5,32080,4996305.870000003,4.11532387561199,0.5225997506234414,155.7451954488779,-13146.285000000149,393.682650760513,-104.71980215475013,True
confidence_threshold,0.43108233117483813,1.0,18.75,30.0,True,0.0,32080,4974235.200000003,4.161884653494429,0.5415211970074812,155.05720698254373,-9277.19999999972,376.89511858162564,-107.29687627881584,True
confidence_threshold,0.43108233117483813,1.0,22.5,15.0,True,0.0,32080,4974055.500000003,4.161770426754159,0.5415211970074812,155.0516053615961,-13294.199999999255,376.8847743495281,-107.29687627881584,True
